year,demographic,category,vol_type,count_1000,avg_hours,p25,p50,p75
2012,education,compulsory_max,Informal,344.8,5.78,0.49,2.08,6.09
2012,education,BMS,Total,1446.7,7.18,0.73,2.86,9.26
2012,education,BMS,Formal,895.3,5.09,0.44,1.93,5.59
2012,education,BMS,Informal,1261.1,6.06,0.44,2.48,7.96
2012,education,Matura,Total,642.7,6.61,0.85,3.03,8.51
2012,education,Matura,Formal,349.3,5.25,0.61,1.96,4.74
2012,education,Matura,Informal,437.5,6.51,0.44,2.22,7.16
2012,education,University,Total,675.2,6.6,1.01,2.59,7.17
2012,education,University,Formal,405.1,4.49,0.67,2.04,4.52
2012,education,University,Informal,523.2,5.0,0.53,2.14,6.54
2012,migration_background,Migration background,Total,555.6,6.07,0.55,1.9,5.93
2012,migration_background,Migration background,Formal,211.4,4.35,0.52,2.18,6.14
2012,migration_background,Migration background,Informal,562.6,4.88,0.37,1.31,4.66
2012,migration_background,No migration background,Total,3021.9,7.68,0.83,3.12,8.67
2012,migration_background,No migration background,Formal,1681.8,4.93,0.5,2.12,4.94
2012,migration_background,No migration background,Informal,2401.7,6.32,0.51,2.2,8.07
2012,employment,Employed,Total,1937.7,6.41,0.71,2.73,6.8
2012,employment,Employed,Formal,1092.3,4.59,0.59,2.17,5.3
2012,employment,Employed,Informal,1568.6,5.71,0.48,1.94,6.01
2012,employment,Retired,Total,764.5,8.13,0.95,3.84,9.93
2012,employment,Retired,Formal,356.2,5.07,0.49,1.99,4.61
2012,employment,Retired,Informal,619.5,7.99,0.64,2.86,9.02
2012,employment,Miscellaneous,Total,677.6,7.36,0.77,2.63,8.13
2012,employment,Miscellaneous,Formal,271.6,4.27,0.5,1.77,4.99
2012,employment,Miscellaneous,Informal,557.0,6.41,0.46,2.14,6.8
2012,municipality_size,"â‰¤2,500 inhabitants",Total,925.0,6.59,0.85,3.27,7.45
2012,municipality_size,"â‰¤2,500 inhabitants",Formal,450.2,4.53,0.45,1.86,4.72
2012,municipality_size,"â‰¤2,500 inhabitants",Informal,518.7,5.82,0.49,2.12,6.33
2012,municipality_size,"â‰¤10,000 inhabitants",Total,1137.5,6.65,0.81,3.25,9.72
2012,municipality_size,"â‰¤10,000 inhabitants",Formal,637.4,4.66,0.49,1.81,5.56
2012,municipality_size,"â‰¤10,000 inhabitants",Informal,895.2,6.65,0.63,2.6,7.88
2012,municipality_size,"â‰¤100,000 inhabitants",Total,662.2,7.17,0.76,2.92,8.24
2012,municipality_size,"â‰¤100,000 inhabitants",Formal,249.4,4.75,0.46,1.83,4.93
2012,municipality_size,"â‰¤100,000 inhabitants",Informal,459.9,5.82,0.52,2.37,7.1
2012,municipality_size,">100,000 inhabitants",Total,900.2,6.78,0.76,2.71,6.7
2012,municipality_size,">100,000 inhabitants",Formal,450.6,5.09,0.68,1.95,4.9
2012,municipality_size,">100,000 inhabitants",Informal,807.6,5.66,0.49,1.9,6.11
2012,region,all,Total,3324.2,6.25,0.78,3.08,8.37
2012,region,all,Formal,1720.2,4.78,0.49,2.0,4.73
2012,region,all,Informal,2546.1,6.16,0.44,2.19,6.93
2012,region,burgenland,Total,103.6,6.62,0.76,2.49,8.67
2012,region,burgenland,Formal,65.9,2.91,0.52,1.86,3.83
2012,region,burgenland,Informal,81.7,6.69,0.53,2.39,8.75
2012,region,Kأ¤rnten,Total,239.4,7.31,1.1,2.64,8.42
2012,region,Kأ¤rnten,Formal,99.0,4.8,0.77,1.95,4.63
2012,region,Kأ¤rnten,Informal,177.9,6.35,0.57,2.49,7.46
2012,region,Niederأ¶sterreich,Total,712.6,7.45,0.72,2.43,9.42
2012,region,Niederأ¶sterreich,Formal,411.0,5.26,0.45,2.05,5.1
2012,region,Niederأ¶sterreich,Informal,550.0,7.5,0.49,2.21,9.16
2012,region,Oberأ¶sterreich,Total,525.6,7.22,0.77,2.93,8.78
2012,region,Oberأ¶sterreich,Formal,308.0,5.52,0.46,1.73,5.05
2012,region,Oberأ¶sterreich,Informal,446.0,5.41,0.42,2.19,6.26
2012,region,salzburg,Total,241.1,8.11,0.95,3.26,8.74
2012,region,salzburg,Formal,137.5,6.53,0.67,2.29,6.88
2012,region,salzburg,Informal,171.2,5.71,0.56,2.76,7.42
2012,region,steiermark,Total,421.5,7.24,0.88,2.83,7.39
2012,region,steiermark,Formal,239.0,4.52,0.58,1.97,5.42
2012,region,steiermark,Informal,394.1,5.47,0.73,2.32,7.28
2012,region,tirol,Total,282.4,7.07,0.67,2.99,7.51
2012,region,tirol,Formal,218.4,4.24,0.43,1.93,4.99
2012,region,tirol,Informal,219.8,6.06,0.47,1.83,7.28
2012,region,vorarlberg,Total,154.8,7.34,1.0,2.96,7.04
2012,region,vorarlberg,Formal,91.7,3.92,0.47,1.8,3.92
2012,region,vorarlberg,Informal,103.9,7.02,0.89,3.27,7.16
2012,region,wien,Total,690.7,6.87,0.56,2.1,7.3
2012,region,wien,Formal,252.7,5.18,0.58,1.83,4.66
2012,region,wien,Informal,494.0,5.52,0.49,1.59,6.36
2012,task_type,leadership,Total,414.3,9.39,2.07,5.35,12.33
2012,task_type,leadership,Formal,478.6,7.79,1.16,3.16,10.09
2012,task_type,leadership,Informal,220.8,5.2,0.62,1.98,6.97
2012,task_type,core_tasks,Total,940.4,7.58,1.3,3.99,9.39
2012,task_type,core_tasks,Formal,910.2,4.72,1.02,2.43,6.32
2012,task_type,core_tasks,Informal,500.6,5.01,0.48,2.17,5.66
2012,task_type,support_tasks,Total,791.2,7.13,0.77,2.99,8.33
2012,task_type,support_tasks,Formal,690.6,4.07,0.36,1.22,3.86
2012,task_type,support_tasks,Informal,402.5,5.45,0.55,2.12,6.5
2016,Total,all,Total,3868.4,6.6,0.77,2.99,8.74
2016,Total,all,Formal,1956.5,4.48,0.54,2.13,4.57
2016,Total,all,Informal,2449.7,6.09,0.49,2.18,6.97
2016,gender,male,Total,1735.2,6.88,0.72,2.82,7.98
2016,gender,male,Formal,1151.7,5.49,0.76,1.92,5.21
2016,gender,male,Informal,1158.3,5.53,0.41,1.72,6.31
2016,gender,female,Total,1778.6,6.6,0.91,2.91,8.84
2016,gender,female,Formal,824.5,3.97,0.43,1.52,4.33
2016,gender,female,Informal,1422.0,6.38,0.7,3.06,7.36
2016,age_group,<40,Total,1169.7,6.17,0.73,2.36,7.15
2016,age_group,<40,Formal,731.8,5.57,0.73,2.05,5.95
2016,age_group,<40,Informal,784.0,5.09,0.47,1.81,4.75
2016,age_group,40-59,Total,1329.1,7.33,0.73,2.89,8.18
2016,age_group,40-59,Formal,782.3,4.0,0.43,1.79,5.04
2016,age_group,40-59,Informal,871.5,6.2,0.47,2.33,7.46
2016,age_group,60+,Total,942.5,8.55,0.82,3.11,9.07
2016,age_group,60+,Formal,497.0,5.19,0.44,1.69,5.1
2016,age_group,60+,Informal,680.0,7.05,0.58,3.21,8.9
2016,education,compulsory_max,Total,419.6,6.09,0.56,2.21,6.59
2016,education,compulsory_max,Formal,194.5,5.05,0.51,1.89,4.91
2016,education,compulsory_max,Informal,363.3,6.17,0.49,1.8,6.35
2016,education,BMS,Total,1381.7,6.98,0.66,2.93,8.86
2016,education,BMS,Formal,779.6,5.15,0.43,2.09,5.64
2016,education,BMS,Informal,1062.5,6.42,0.46,2.5,7.3
2016,education,Matura,Total,706.8,7.08,0.83,2.8,7.67
2016,education,Matura,Formal,361.3,4.58,0.58,1.85,4.87
2016,education,Matura,Informal,451.0,6.2,0.48,2.24,6.48
2016,education,University,Total,813.6,6.15,1.02,2.64,7.25
2016,education,University,Formal,438.3,4.32,0.68,1.94,4.97
2016,education,University,Informal,592.1,4.8,0.5,2.19,6.21
2016,migration_background,Migration background,Total,594.7,5.54,0.54,1.93,5.78
2016,migration_background,Migration background,Formal,247.8,4.33,0.52,1.99,5.75
2016,migration_background,Migration background,Informal,546.7,5.21,0.33,1.49,4.86
2016,migration_background,No migration background,Total,3072.5,7.12,0.78,2.73,8.75
2016,migration_background,No migration background,Formal,1428.0,4.93,0.54,1.97,5.42
2016,migration_background,No migration background,Informal,2265.5,6.22,0.56,2.27,7.36
2016,employment,Employed,Total,2290.9,6.77,0.78,2.77,7.16
2016,employment,Employed,Formal,1011.4,4.89,0.53,2.01,5.39
2016,employment,Employed,Informal,1536.0,5.51,0.44,2.13,5.57
2016,employment,Retired,Total,824.0,8.3,1.01,3.52,9.96
2016,employment,Retired,Formal,368.2,5.12,0.49,2.1,4.84
2016,employment,Retired,Informal,684.7,7.95,0.72,2.86,10.84
2016,employment,Miscellaneous,Total,706.1,6.44,0.69,2.84,7.2
